date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-12-14 00:00:00,33.5,29.8,41.5,0,,172,11.9,,1010.6,
2024-12-15 00:00:00,22.2,17.8,29.4,0,,158,8.9,,1013.8,
2024-12-16 00:00:00,21.1,15.3,28.4,0,,116,8,,1016.4,
2024-12-17 00:00:00,23.3,21.5,28,9.9,,64,9.3,,1017.3,
2024-12-18 00:00:00,25,21.1,29.5,0,,13,10,,1012.9,
2024-12-19 00:00:00,24.3,19.5,29.5,4.1,,356,6.3,,1009,
2024-12-20 00:00:00,27,24.4,30.4,0,,264,9.1,,1006.9,
2024-12-21 00:00:00,19.7,16,31.5,0,,88,8.7,,1017,
2024-12-22 00:00:00,23.6,20.7,28.6,0,,358,9.5,,1018.5,
2024-12-23 00:00:00,25.6,20.2,31.3,0,,353,9.5,,1013.6,
2024-12-24 00:00:00,22.5,17.3,31.3,5.1,,218,8.1,,1014.8,
2024-12-25 00:00:00,18.6,15.2,26.4,0,,185,8.2,,1016.3,
2024-12-26 00:00:00,19.4,13.9,28.3,0,,161,8.4,,1013.2,
2024-12-27 00:00:00,22.9,16.5,29.5,0,,127,7.3,,1013.5,
2024-12-28 00:00:00,22.7,18.5,29.5,0,,90,8.5,,1018,
2024-12-29 00:00:00,23,19.5,28.1,0,,81,9.9,,1017,
2024-12-30 00:00:00,24.2,17.9,29.5,0,,68,10.7,,1013.5,
2024-12-31 00:00:00,26,21.8,31.7,0,,45,13.2,,1010.6,
